ID,lat,lon,ele,time,name
225,43.94917698,-71.73979897,611.401001,2022-06-06T12:16:52Z,KBYA 6VI22 1
226,43.94785901,-71.74005202,614.325317,2022-07-06T14:30:44Z,KBYA 6VII22 1
227,43.94834197,-71.73962999,614.593079,2022-07-06T12:03:43Z,KBYA 6VII22 2
228,43.94790502,-71.74009401,613.269653,2022-07-06T12:50:17Z,KBYA 6VII22 3
229,43.94867004,-71.73913001,611.106079,2022-06-07T12:43:57Z,KBYA 7VI22 1
230,43.944924,-71.74347402,606.809387,2022-06-18T12:54:05Z,KGWA 18VI22 1
231,43.94444103,-71.74339104,598.908997,2022-07-01T12:43:37Z,KGWA 1VII22 1
232,43.944018,-71.74292701,595.66095,2022-07-01T12:47:31Z,KGWA 1VII22 2
233,43.94421103,-71.74283104,592.808533,2022-07-01T12:53:10Z,KGWA 1VII22 3
234,43.94500103,-71.743471,602.236389,2022-06-21T11:42:54Z,KGWA 21VI22 1
235,43.94440901,-71.74278804,583.922119,2022-05-30T11:15:37Z,KGWA 30V22 1
236,43.94509901,-71.74261898,587.886719,2022-05-30T11:35:59Z,KGWA 30V22 2
237,43.94533002,-71.74250599,581.564209,2022-05-30T11:38:23Z,KGWA 30V22 3
238,43.94450197,-71.74302902,597.268066,2022-07-03T12:42:35Z,KGWA 3VI22 1
239,43.94468,-71.74402404,618.659546,2022-07-05T13:42:17Z,KGWA 5VII22 1
240,43.94464698,-71.74463097,628.011047,2022-07-05T13:44:57Z,KGWA 5VII22 2
241,43.94416301,-71.74480196,632.600525,2022-07-05T13:47:44Z,KGWA 5VII22 3
242,43.94391096,-71.74458998,630.884827,2022-07-05T13:51:58Z,KGWA 5VII22 4
243,43.944866,-71.74307202,600.422852,2022-07-07T11:42:37Z,KGWA 7VII22 1
244,43.94452997,-71.74314603,603.386414,2022-07-07T13:30:54Z,KGWA 7VII22 2
245,43.94386897,-71.74408497,604.590149,2022-07-09T11:53:24Z,KGWA 9VII22 1
246,43.94463801,-71.741372,576.880188,2022-05-17T15:09:26Z,KGWA_17V22_1
247,43.94451002,-71.741286,572.883057,2022-05-17T15:12:51Z,KGWA_17V22_2
248,43.94157501,-71.74615002,633.733337,2022-06-10T13:40:13Z,KKBA 10VI22 1
249,43.94214297,-71.74611197,624.94989,2022-06-14T13:45:00Z,KKBA 14VI22 1
250,43.94188296,-71.74646401,634.468872,2022-06-14T12:49:34Z,KKBA 14VI22 2
251,43.94298099,-71.74681404,629.044128,2022-05-19T13:40:32Z,KKBA 19V22 R1
252,43.943041,-71.74659301,627.759277,2022-05-19T13:37:42Z,KKBA 19V22 R2
253,43.94240004,-71.74625304,623.604431,2022-05-19T14:16:22Z,KKBA 19V22 R3
254,43.94201598,-71.74633602,619.017822,2022-06-20T13:08:06Z,KKBA 20VI22 1
255,43.94300597,-71.74658496,625.7724,2022-05-31T13:10:12Z,KKBA 31V22 2
256,43.94183099,-71.74677498,638.604858,2022-06-04T12:39:15Z,KKBA 4VI22 1
